ID Produit;name;Catégorie;Sous-catégorie ;Description;Taille ( inch );Taille ( cm );Couleur;Composition;Forme;Poids;Photos;# Fournisseur;# Emballage;Prix unitaire;Prix grossiste;Prix special;Prix internet;Observations
6,01001E+12;Round Diamond Pouf Beige; Leather;Custom Poufs;Gold details add glamour to our contemporary Diamond poufs. Top grain leather, zipper closure. Cotton filling.;139,7 inch x 114,3 inch      ;55 cm D * 45 cm H;Beige;Goat skin Leather – Filled with recycled cotton;;;;;;;;;595,00 $;
6,01001E+12;Square Diamond Pouf Clay; Leather;Custom Poufs;Gold details add glamour to our contemporary Diamond poufs. Top grain leather, zipper closure . Cotton filling;139,7 inch x 114,3 inch;55 cm D * 45 cm H;Clay;Goat skin Leather – Filled with recycled cotton;;;;;;;;;595,00 $;
6,01001E+12;Square poufs Beige; Leather;Custom Poufs;Hand-stitched details add an artisan accent to a modern form. Top grain leather. Zipper closure with Cotton filling;101,6 inch x101,6 inch x 109,22 inch ;40 cm * 40 cm * 43 cm H;Beige;Goat skin Leather;;;;;;;;;495,00$;
6,01001E+12;Square poufs Clay; Leather;Custom Poufs;Hand-stitched details add an artisan accent to a modern form. Top grain leather. Zipper closure with Cotton filling;101,6 inch x101,6 inch x 109,22 inch ;40 cm * 40 cm * 43 cm H;Clay;Goat skin Leather;;;;;;;;;495,00$;
6,01001E+12;Square poufs raisin; Leather;Custom Poufs;Hand-stitched details add an artisan accent to a modern form. Top grain leather. Zipper closure with Cotton filling;101,6 inch x101,6 inch x 109,22 inch ;40 cm * 40 cm * 43 cm H;Raisin;Goat skin Leather;;;;;;;;;495,00$;
6,01001E+12;Square poufs tan; Leather;Custom Poufs;Hand-stitched details add an artisan accent to a modern form. Top grain leather. Zipper closure with Cotton filling;101,6 inch x101,6 inch x 109,22 inch ;40 cm * 40 cm * 43 cm H;Tan;Goat skin Leather;;;;;;;;;495,00$;
6,01001E+12;Square poufs tumeric; Leather;Custom Poufs;Hand-stitched details add an artisan accent to a modern form. Top grain leather. Zipper closure with Cotton filling;101,6 inch x101,6 inch x 109,22 inch ;40 cm * 40 cm * 43 cm H;Tumeric;Goat skin Leather;;;;;;;;;495,00$;
6,01001E+12;Square poufs cocoa; Leather;Custom Poufs;Hand-stitched details add an artisan accent to a modern form. Top grain leather. Zipper closure with Cotton filling;101,6 inch x101,6 inch x 109,22 inch ;40 cm * 40 cm * 43 cm H;Cocoa;Goat skin Leather;;;;;;;;;495,00$;
6,03008E+12;Bright Silver Finish;Entertainment;Trays;cl;114,3 inch;45cm;Bright Silver;Silver;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Bright Silver Finish;Entertainment;Trays;;152,4;60 cm;Bright Silver;Silver;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Bright Silver Finish;Entertainment;Trays;;177,8 inch;70cm;Bright Silver;Silver;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Bright Silver Finish;Entertainment;Trays;;203,2 inch;80cm;Bright Silver;Silver;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Antique Brass Finish;Entertainment;Trays;;114,3 inch;45cm;Antique Brass;Brass;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Antique Brass Finish;Entertainment;Trays;;114,3 inch;60 cm;Antique Brass;Brass;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Antique Brass Finish;Entertainment;Trays;;177,8 inch;70cm;Antique Brass;Brass;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Antique Brass Finish;Entertainment;Trays;;203,2 inch;80cm;Antique Brass;Brass;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Bright Copper Finish;Entertainment;Trays;;114,3 inch;45cm;Bright Copper;Copper;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Bright Copper Finish;Entertainment;Trays;;114,3 inch;60 cm;Bright Copper;Copper;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
6,03008E+12;Bright Copper Finish;Entertainment;Trays;;177,8 inch;70cm;Bright Copper;Copper;;;;;;;;;;Ces produits existent uniquement sur le catalogue DFT
